,comment,nhelpful,unixtime,work,flags,user,stars,time,user_encoded,work_encoded,review_date,year,month,time_decay,adjusted_stars,final_stars
0,"Every evening, the brave queen of Persia, Shahrazad, goes into the Sultan's rooms and begins a weave of words, hoping to entice the Sultan to let her live another night so she can continue her story. But Shahrazad has a big problem: She is running out of stories. With a delicate stroke of luck, a cripple girl, Marjan, ventures into the harem with her Aunt to sell various wares. As her Aunt is selling things, Marjan entertains some of the children with a story. Unbeknownst to Marjan, Shahrazad's sister, Dunyazad, has heard her telling the story. Marjan is taken directly to Shahrazad and asked to recount the story. The tale keeps the queen alive another night and the queen decides to keep Marjan.
 As her helper, Marjan has to go into the city and look for tales that the Sultan has not heard. She has several close calls with the Kathun, the voracious female who rules the harem and who is set against 
Shahrazad. Finally the Sultan proclaims that he will stop killing women every night. Unfortunately, Marjan is still in danger and has to be taken out of the city along with Zaynab, an old woman who assisted Marjan. 
 Since my mom suggested this book to me, I thought that it would be boring. It was quite the opposite. I was intrigued from the very beginning to the end. I loved the byplay between the characters and the thrilling escapes from various places. One thing that didn't please me was the ending. The ending was abrupt; the story just kind of stopped and left you wondering what happened next in Marjan's life. But all in all, this book was amazing and I have read and re-read it many times ",0,1332288000.0,73960,[],Elizabeth.Wong98,4.5,"Mar 21, 2012",8341,417961,2012-03-21,2012,3,0.0,0.0,2.25
1,"Its the 1983-84 school year and Edward Zanni of Hoboken has to figure out how to get into, and then to pay for, Juilliard when his father insists that hell only pay for a business major. Fortunately, hes got friends; unfortunately, their ideas tend towards the felonious. A bunch of comic setpieces strung together with bare connective tissue. The characters were all trying too hard to be charming, which makes them typical teens but no more fun for that. Bonus for varying sexualities among the teens, but points off for a 2004 novel in which Edwards 1984 observations are way too precious (Madonnas a flash in the pan, what does that Matthew Broderick fellow have that I dont, etc.). ",0,1253404800.0,69413,[],rivkat,3.0,"Sep 20, 2009",71112,408855,2009-09-20,2009,9,0.0,0.0,1.5
2,"I became privy to this book, when another author that I enjoy reading recommended it to her fans, as Brenna Yovanoff is one of her friends. The way she described the premise of the book and the author herself, made me want to look into reading it. I immediately knew when I saw the cover, all bets were off. This would definitely be a book that I would enjoy.
This book easily fits into a genre that I'm no stranger to, at the moment. Actually, haven't been for years, if I'm honest. I like the main character Mackie and the fact that he wants to nothing more to be normal, which is quite the opposite of what he actually is. I also enjoy the fact that Emma, his sister loves him for who he is and not necessarily what he is, and that Roswell comes across as a very understanding and supportive friend that he can count on. 
All throughout the back half half of this story, I found myself strongly associating the sacrifice of one of the town's baby with another short story I'd read years ago, The Lottery. The two stories are not exactly the same, but there is a thread of similarity there in that one sense. It's almost as if, they're sacrificing the one for the good of the many, and the towns people look the other way because they're too afraid to look at the truth. 
The character's that come out of the House of Mayhem just may very well be some of the most colorful, unique, and favorite character's ever among many. From the Morrigan to the little pink girl, to the dead girls, and Carlina Carlyle it was all so interesting. The history and the mythology there, the fact that there was a whole world that lay beneath the two of Gentry in the Slag Heap. 
Strange how sometimes something so ugly can come across so beautiful in ways that you couldn't begin to imagine, something that takes on a life of their own. Even the Lady and the Cutter, had their purposes. And the story seemed to re-iterate that when you give something a name, it gives that thing power - whatever it is. It's not exactly that these beings were evil and ugly, so much as they were just different and creepy and had their own agenda's and reasonings behind their actions. They were very well portrayed in everything they did or said. Nothing was without meaning.
The author's attention devoted to the imagery and detail of the story, showed in her vivid imagination, when creating The House of Mayhem and the spooky town of Gentry and all of the people and ugly things were part of what made this first published work of hers so phenomenal. 
The only drawback for me as far as this book goes, was the pacing of it. For me, personally, it started off pretty slow and didn't seem to really pick up and gain momentum until about half way into the story itself. But, all of that aside, I really wanted to finish this book because I truly felt like it had potential and the back half of it just did not disappoint me. The rich storytelling and the creative imagery that she wove into it, has made me enjoy this book in ways that I hadn't imagined I would. ",0,1299888000.0,9523995,[],suz.haugland,4.0,"Mar 12, 2011",77120,488429,2011-03-12,2011,3,0.0,0.0,2.0
3,   .    ,0,1327276800.0,368228,[],amoskovacs,4.0,"Jan 23, 2012",30288,297840,2012-01-23,2012,1,0.0,0.0,2.0
4,"This is a tremendous story of a freed woman and her family being sold into slavery. The story deals with the indignities and humiliations that slaves had to cope with. The ending was a bit of a disappointment as this was such an interesting story. Maybe the ending just means there will be a sequel. Even though it is a fictional story, many historical facts are used to create this tale. All in all it is well worth reading. ",0,1329004800.0,11243828,[],CandyH,4.0,"Feb 12, 2012",4864,50288,2012-02-12,2012,2,0.0,0.0,2.0
5,"And with this book, I am officially caught up with the series! Unfortunately, this one wasnt that great. There was no overall story or theme here, just a bunch of smaller problems that have to be solved all at once. Sookie is starting to lose some of her depth, and is almost becoming a parody of herself. Im hoping that the next book is a little more thoughtfully written. ",0,1278892800.0,9071901,[],miyurose,2.0,"Jul 12, 2010",63117,472343,2010-07-12,2010,7,0.0,0.0,1.0
6,"What PUN!
Having a sister was weird. It was like having a heart-shaped bruise. So says just-turned-eleven year-old Milton Fauster about his thirteen going on thirty-year-old sister Marlo, a bad seed who drags her hapless little bro down with her into Heck after an unfortunate marshmallow-bear explosion.
 
Heck is where the souls of the darned toil for all eternityor until they turn eighteen, whichever comes first, says Principal Bea Elsa Bubb. In Heck, Demons wield pitchsporks, the cafeterium serves over-cooked Brussels Sprouts, and even toddlers have been judged and assigned to a KinderScare facility. Richard Nixon teaches Ethics and Lizzie Borden Home Economics.
In this, his first novel, author Dale E. Basye was apparently determined to pack as many puns as possible into the narrative, with a plethora of descriptive phrases so adjective and adverb-intense I sometimes lost the gist of the sentence and had to re-read to get the full effect. For instance, it could just be me, but try to read the following straight through just once with full comprehension: A terrible grating metal squeak sliced through the cavern as an ornate iron decorated gate with sugared spikes, candied skulls, and barbed licorice labored open roughly forty feet behind the stage. I dont know about you, but I had to go back and wrap my mind around that gate.
And yeesh, the double-entendres and triple-entendres just wouldnt stop coming. Take this almost overbearingly puntastic sentence, Warped hula-hoops, two-wheeled tricycles, deflated basketballs, not-so-Hot Wheels, well-mannered Bratz, ex-Xboxes, and an astounding collection of Russian poetry lay scattered across the dingy grey carpet.
In adult literature, clichs are frowned upon, but here in Juvenile Fictionland, the more warped but still-recognizable the clichs, the better. And this book is juvenile fiction in the true spirit of the word, as author Basye doesnt hesitate to cross the gross line into disgusting territory. From the sulfur water thats like drinking a fart, to phrases like mind over fecal matter, and, (dear Lord, yes,) a VILE description of our hero narrowly avoiding getting shat upon by none other than Principal Bubb herself as he is attempting to escape Heck through the sewer system.
I have to comment on some editing issues that fully distracted me (being as how Im a writer who learned the rules the hard way: by committing each and every sin Pat Holt so succinctly lays out in his Ten Mistakes article here). Basye is fond of heavy use of his characters names instead of going with a personal pronoun where applicable. So, Marlo did this, Marlo did that, and Marlo did the other thing; where I would have been comfortable reading how Marlo did this, she did that and she did the other thing. And there was a lot of head-hopping going on; where instead of sticking to one persons point of view, the author slipped between characters thoughts within the same chapter. This is a sin strictly forbidden to first-time novelists, but Basyes editor seems to have forgiven it, maybe because the writing is bursting with those relentless (and sometimes quite clever) puns, and some people do love to groan.
Heck is a foul, vulgar place, despite the humor Basye uses to describe it, and maybe some of his young readers will come away from the mild underlying moral of the story (Be Good or Else), with a renewed appreciation forwellthe possibility of eternal consequences. I sincerely doubt the real Heck is as much pun.
(Review originally posted to Booksquawk) ",0,1315353600.0,4842812,[],melissaconway,3.0,"Sep 7, 2011",61921,342491,2011-09-07,2011,9,0.0,0.0,1.5
7,"A new designer drug that makes people very aggressive. A medical researcher hired to work on stabilizing a mysterious molecule who fears her boss is being threatened by a notorious gangster. A travelling freak show. Repairman Jack makes a horrifying discovery as his recent cases tie all these together.
Still as addictive as popcorn--and about as filling. ",0,1227225600.0,32125,[],mab2008,3.5,"Nov 21, 2008",59772,276670,2008-11-21,2008,11,0.0,0.0,1.75
8,great ,0,1377216000.0,1110874,[],Mamajeanne,5.0,"Aug 23, 2013",17106,43885,2013-08-23,2013,8,0.9,4.5,4.75
9,"Beoordeling boek Grieselstate 
Het boek Grieselstate kan je plaatsen (zoals de titel al aangeeft) in de categorie griezelverhalen. Ook past het boek in de categorie humoristische verhalen omdat het verhaal op een soms hilarische manier omschreven wordt. Het thema van dit boek is gericht op hekserij. Ook wordt er de vriendschap omschreven tussen de drie hoofdpersonen David, Jill &amp; Jeffrey. Erg realistisch is het boek niet. De onderwerpen magie &amp; hekserij komen erg veel aanbod in dit boek, deze themas kom je in het dagelijks leven niet erg vaak tegen. 
David Eliot wordt op een dag van school gestuurd. Zijn ouders, die niet meteen de meest sympathieke ouders zijn, besluiten David in te schrijven voor een school genaamd: Grieselstate. Deze kostschool ligt gesoleerd op een klein eiland. Bij zijn aankomst in Grieselstate ontdekt David al snel dat er allerlei vreemde dingen gebeuren op deze al even onheilspellende school. Na een mislukte ontsnappingspoging van David, komt hij erachter dat hij terecht is gekomen op een griezelschool! Elke nacht rond twaalf uur lopen alle leerlingen de slaapzalen uit en gaan op weg naar een hol diep onder de grond. Hier leren de leerlingen de kracht van magie &amp; hekserij. 
Dit is een geweldig goed geschreven, spannend verhaal. De auteur vertelt dit originele verhaal met kleurrijke personages op een humoristische, soms zelf hilarische manier waarbij de nodige spanningselementen niet ontbreken. De beschrijvingen van Grieselstate en de directe omgeving zorgen ervoor dat de lezer een duidelijk beeld krijgt van de bizarre school en de al even bizarre leerkrachten en schoolhoofden. De lezer heeft de nodige fantasie nodig om zich met bepaalde gebeurtenissen te identificeren. Zo kan het hoofd van de school mensen laten verdwijnen en lijken alle leerlingen niet te kunnen/ willen praten. Jongeren of volwassene die dit boek lezen zijn aan het eind van de boek op zeker hoogte genformeerd over het thema hekserij. Dit thema wordt namelijk tot in de fijnste puntjes omschreven. Het verhaal leest als een trein en neemt je van het begin tot het einde mee in een rijke fantasiewereld vol spanning en avontuur. Ik vind dit een echte aanrader voor puur leesplezier!",1,1305676800.0,794394,[],esther4,4.0,"May 18, 2011",44220,433437,2011-05-18,2011,5,0.0,0.0,2.0
